date,security,PX_LAST
2021-10-31,CPI YOY Index,6.2
2021-10-31,JNCPIYOY Index,0.1
2021-11-30,CPI YOY Index,6.8
2021-11-30,JNCPIYOY Index,0.6
2021-11-30,CNCPIYOY Index,2.3
2021-12-31,EHPIEU Index,4.67
2021-12-31,CPI YOY Index,7.0
2021-12-31,JNCPIYOY Index,0.8
2021-12-31,CNCPIYOY Index,1.5
2022-01-31,CPI YOY Index,7.5
2022-01-31,CNCPIYOY Index,0.9
2022-01-31,JNCPIYOY Index,0.5
2022-02-28,CPI YOY Index,7.9
2022-02-28,JNCPIYOY Index,0.9
2022-02-28,CNCPIYOY Index,0.9
2022-03-31,CNCPIYOY Index,1.5
2022-03-31,CPI YOY Index,8.5
2022-03-31,JNCPIYOY Index,1.2
2022-03-31,EHPIEU Index,6.13
2022-04-30,CPI YOY Index,8.3
2022-04-30,JNCPIYOY Index,2.5
2022-04-30,CNCPIYOY Index,2.1
2022-05-31,CPI YOY Index,8.6
2022-05-31,CNCPIYOY Index,2.1
2022-05-31,JNCPIYOY Index,2.5
2022-06-30,CNCPIYOY Index,2.5
2022-06-30,CPI YOY Index,9.1
2022-06-30,JNCPIYOY Index,2.4
2022-06-30,EHPIEU Index,8.03
2022-07-31,CNCPIYOY Index,2.7
2022-07-31,JNCPIYOY Index,2.6
2022-07-31,CPI YOY Index,8.5
2022-08-31,CNCPIYOY Index,2.5
2022-08-31,JNCPIYOY Index,3.0
2022-08-31,CPI YOY Index,8.3
2022-09-30,CPI YOY Index,8.2
2022-09-30,JNCPIYOY Index,3.0
2022-09-30,CNCPIYOY Index,2.8
2022-09-30,EHPIEU Index,9.3
2022-10-31,CNCPIYOY Index,2.1
2022-10-31,JNCPIYOY Index,3.7
2022-10-31,CPI YOY Index,7.7
2022-11-30,JNCPIYOY Index,3.8
2022-11-30,CPI YOY Index,7.1
2022-11-30,CNCPIYOY Index,1.6
2022-12-31,CNCPIYOY Index,1.8
2022-12-31,JNCPIYOY Index,4.0
2022-12-31,CPI YOY Index,6.5
2022-12-31,EHPIEU Index,9.97
2023-01-31,JNCPIYOY Index,4.3
2023-01-31,CPI YOY Index,6.4
