date,security,PE_RATIO,BEST_PE_RATIO
2015-07-31,S5INDU Index,16.5118,16.6559
2015-07-31,S5UTIL Index,16.5732,16.195
2015-07-31,S5HLTH Index,23.7792,19.0344
2015-07-31,S5INFT Index,18.4149,17.1686
2015-08-03,S5HLTH Index,23.7808,19.0255
2015-08-03,S5INDU Index,16.4389,16.5882
2015-08-03,S5ENRS Index,17.7281,25.8564
2015-08-03,S5UTIL Index,16.666,16.2854
2015-08-03,S5FINL Index,14.8084,14.7858
2015-08-03,S5COND Index,22.6973,20.9487
2015-08-03,S5CONS Index,19.9808,20.6286
2015-08-03,S5TELS Index,14.001,13.2201
2015-08-03,S5INFT Index,18.3285,17.0991
2015-08-03,S5MATR Index,16.3635,16.8707
2015-08-04,S5MATR Index,16.431,16.9698
2015-08-04,S5TELS Index,13.9374,13.1783
2015-08-04,S5HLTH Index,23.7658,19.0246
2015-08-04,S5INFT Index,18.1989,16.9862
2015-08-04,S5COND Index,22.7697,21.0214
2015-08-04,S5INDU Index,16.4242,16.5955
2015-08-04,S5ENRS Index,17.6086,25.7003
2015-08-04,S5FINL Index,14.7854,14.7623
2015-08-04,S5UTIL Index,16.3928,16.0085
2015-08-04,S5CONS Index,19.9731,20.6423
2015-08-05,S5INFT Index,18.3839,17.151
2015-08-05,S5HLTH Index,23.9356,19.1387
2015-08-05,S5INDU Index,16.5185,16.6968
2015-08-05,S5ENRS Index,17.4895,25.4887
2015-08-05,S5MATR Index,16.1599,17.0639
2015-08-05,S5UTIL Index,16.219,16.0526
2015-08-05,S5FINL Index,14.8205,14.8059
2015-08-05,S5CONS Index,20.142,20.829
2015-08-05,S5TELS Index,14.0147,13.1762
2015-08-05,S5COND Index,22.5234,20.8883
2015-08-06,S5UTIL Index,16.3068,16.1176
2015-08-06,S5CONS Index,19.9974,20.6694
2015-08-06,S5MATR Index,16.1847,17.0016
2015-08-06,S5INFT Index,18.1948,16.9753
2015-08-06,S5INDU Index,16.4457,16.6427
2015-08-06,S5HLTH Index,23.4349,18.7203
2015-08-06,S5COND Index,22.2226,20.6295
2015-08-06,S5TELS Index,13.9271,13.098
2015-08-06,S5ENRS Index,17.7037,25.7552
2015-08-06,S5FINL Index,14.7051,14.7523
2015-08-07,S5TELS Index,13.8789,13.0527
2015-08-07,S5ENRS Index,17.3749,25.1203
2015-08-07,S5MATR Index,15.956,16.7519
2015-08-07,S5INDU Index,16.3626,16.5602
2015-08-07,S5HLTH Index,23.3792,18.6881
2015-08-07,S5CONS Index,19.8725,20.5476
2015-08-07,S5FINL Index,14.7579,14.7502
2015-08-07,S5UTIL Index,16.5106,16.3246
2015-08-07,S5COND Index,22.2058,20.6231
2015-08-07,S5INFT Index,18.2028,16.9732
2015-08-10,S5ENRS Index,17.9156,25.8941
2015-08-10,S5INDU Index,16.6733,16.8719
2015-08-10,S5HLTH Index,23.5682,18.7997
2015-08-10,S5COND Index,22.3957,20.7883
2015-08-10,S5INFT Index,18.4868,17.2246
2015-08-10,S5UTIL Index,16.5093,16.2609
2015-08-10,S5CONS Index,19.9607,20.6008
2015-08-10,S5MATR Index,16.3649,17.1332
2015-08-10,S5FINL Index,14.9162,14.9521
2015-08-10,S5TELS Index,14.1337,13.2882
